days on zillow,address,zip,city,price,bed,bath,sqFt,lotSize,yearBuilt,zillow property id,photoCount,latitude,longitude,zestimate
1,2101 Exposition Blvd,78703,Austin,1365500,4,4,3660,0.27 acres,1992,29335158,34,30.295015,97.768812,1339577
1,12912 Orihuela Dr,78652,Austin,0,3,2,1694,0.14 acres,2018,303838934,27,30.168604,97.915319,480002
1,9002 United Kingdom Dr,78748,Austin,0,4,2,1362,0.17 acres,1986,29509228,38,30.176902,97.809084,399889
1,13309 Guarnere Dr,78617,Del Valle,0,4,3,2305,0.1 acres,2011,70342073,37,30.16898,97.612896,236457
1,146 Big Meadow Rd,78737,Austin,586000,4,3,3327,0.31 acres,2017,119615616,40,30.165358,97.994505,560004
1,7117 Dagon Dr,78754,Austin,0,3,2,1684,0.2 acres,1994,29419903,28,30.345334,97.609977,260100
2,12313 Indian Mound Dr,78758,Austin,519000,4,3,2081,0.31 acres,1974,29438691,25,30.405214,97.679224,377151
days on zillow,address,zip,city,price,bed,bath,sqFt,lotSize,yearBuilt,zillow property id,photoCount,latitude,longitude,zestimate
1,1705 Gaylord Dr,78728,Austin,2000,4,2.5,1950,6969,1999,29447983,29,30.438641,97.674375,376097
1,2702 Little Valley Cv,78741,Austin,0,0,0,2193,0.30 Acres,1973,29462857,1,30.228431,97.741369,435181
1,7416 Branrust Dr,78744,Austin,0,4,3,2320,6,2019,145656829,25,30.169127,97.725711,null
1,1411 Karen Ave A,78757,Austin,0,3,3,2076,8,2020,2078238015,32,30.336855,97.73009,749904
2,9207 Rowlands Sayle Rd,78744,Austin,257900,3,3,1496,4,2005,70343439,39,30.161397,97.778562,254246
2,100 Clara Rose Ct,78717,Austin,2495,3,2.5,2381,4835,2015,121722263,20,30.487921,97.729594,428075
1,7501 Covered Bridge Dr,78736,Austin,0,4,4,3297,7,2005,70327897,40,30.239801,97.900698,544356
2,935 La Posada Dr UNIT 153,78752,Austin,1000,1,1,528,1067,2017,241935507,12,30.32537,97.70414,174407
1,3710 Chappie Ln,78725,Austin,0,3,3,2074,null,null,2077655384,1,30.231837,97.584133,null
2,2321 Lakehurst Dr,78744,Austin,272900,3,2,960,5,1975,29503222,33,30.184931,97.757764,119985
1,3001 Del Curto Rd UNIT 4,78704,Austin,0,4,3,2501,5,2015,124718820,40,30.240723,97.778692,855011
1,3808 Eton Ln,78727,Austin,465000,4,2,1632,7,1979,58305292,33,30.414305,97.722499,449994
1,4300 Triboro Trl,78749,Austin,355000,3,2,1522,8,1999,29488899,18,30.215067,97.842851,355226
1,10006 Ramble Three St,78737,Austin,380000,null,null,null,4.25 Acres,null,2077655494,1,30.217963,97.924755,null
1,15028 Haley Holw,78728,Austin,0,4,2,2262,7,1996,29451548,33,30.450488,97.682969,375415
2,10608 Archdale Dr,78748,Austin,2000,3,2,1047,4225,1987,29513859,20,30.156886,97.813542,335000
3,13700 Sage Grouse Dr 1401,78729,Austin,1950,3,2.5,1812,null,2016,243338905,25,30.466063,97.761643,307850
2,2316 Bettylou Ln,78754,Austin,2300,4,2.5,2467,7013,2018,249890734,22,30.355463,97.660063,345332
1,13717 Wiregrass Way,78717,Austin,0,4,4,2684,7,2015,2099325819,38,30.484809,97.789462,507006
2,6809 Sunderland Trl,78747,Austin,1800,3,2.5,2101,4504,2014,120901549,14,30.147336,97.743532,281497
2,10701 Berthound Dr,78758,Austin,411000,3,2,1295,7,1975,29432587,15,30.379511,97.697538,411003
1,8216 Briarwood Ln,78757,Austin,0,3,2,1156,7,1961,29426389,31,30.365811,97.73357,438694
1,4620 Crestway Dr,78731,Austin,0,null,1.700000048,2101,0.88 Acres,1957,29344111,1,30.330934,97.766581,1021786
1,8907 Mount Bartlett Dr,78759,Austin,0,3,2,2142,3,1984,29363203,1,30.389329,97.762278,455225
1,8020 Linnie,73301,Austin,0,3,2,1600,null,null,2077655178,1,30.305612,97.62531,null
1,12708 Daniel Boone Dr,78737,Austin,236500,null,0,924,1.97 Acres,null,28602825,34,30.199281,97.968327,null
1,2819 Lyons Rd,78702,Austin,0,4,2,1732,6,1948,29384505,1,30.263317,97.706941,519989
